!!SBtab SBtabVersion=1.0 TableType=Reaction TableName=Reaction
!Reaction	!Name	!ReactionFormula	!IsReversible	!GeneAssociation	!Pathway	!Identifiers:kegg.reaction	!Identifiers:pubmed	!Identifiers:doi	!Identifiers:eco	!Comment	!Curator	!Notes:EC NUMBER	!Notes:AUTHORS
R_TALA_c	Transaldolase	M_s7p_c +  M_g3p_c <=> M_e4p_c + M_f6p_c	TRUE	(WBGene00021286)	pentose phosphate pathway	R08575				Added KEGG ID; added EC Number	jpnh	2.2.1.2	
R_TKT2_c	D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase	M_e4p_c +  M_xu5p_D_c <=> M_f6p_c + M_g3p_c	TRUE	(WBGene00012713) or (WBGene00008506)	pentose phosphate pathway	R01067				Added KEGG ID; added EC Number	jpnh	2.2.1.1	
R_RXN909_280_c	alpha-D-Glucose 6-phosphate ketol-isomerase (producing beta-D-Fructose 6-phosphate)	M_g6p_A_c <=> M_f6p_c	TRUE	(WBGene00013597)	amino sugar and nucleotide sugar metabolism	R00771				set to reversible;Added KEGG ID; added EC Number	janna;jpnh	5.3.1.9	
R_GAPD_c	Glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	M_g3p_c +  M_pi_c +  M_nad_c <=> M_h_c + M_nadh_c + M_13dpg_c	TRUE	(WBGene00001684) or (WBGene00001684) or (WBGene00001685) or (WBGene00001685) or (WBGene00001683) or (WBGene00001683) or (WBGene00001686) or (WBGene00001686)	glycolysis and gluconeogenesis	R01061				Added KEGG ID; added EC Number	jpnh	1.2.1.12	
R_PGK_c	Phosphoglycerate kinase	M_atp_c +  M_3pg_c <=> M_h_c + M_adp_c + M_13dpg_c	TRUE	(WBGene00020185)	glycolysis and gluconeogenesis	R01512				Added KEGG ID; added EC Number	jpnh	2.7.2.3	
R_PGM_c	Phosphoglycerate mutase	M_3pg_c <=> M_2pg_c	TRUE	(WBGene00019001)	glycolysis and gluconeogenesis	R01518				Added KEGG ID; added EC Number	jpnh	5.4.2.11	
R_ENO_c	Phosphopyruvate hydratase	M_2pg_c <=> M_h2o_c + M_pep_c	TRUE	(WBGene00011884) or (WBGene00011884)	glycolysis and gluconeogenesis	R00658				Added KEGG ID; added EC Number	jpnh	4.2.1.11	
R_PYK_c	Pyruvate kinase	M_pep_c + 2.0 M_h_c +  M_adp_c <=> M_atp_c + M_pyr_c	FALSE	(WBGene00009126) or (WBGene00014001)	glycolysis and gluconeogenesis	R00200				Added KEGG ID; added EC Number	jpnh	2.7.1.40	
R_PYRt2m	pyruvate mitochondrial transport via proton symport	M_h_c +  M_pyr_c <=> M_h_m + M_pyr_m	TRUE	ND	exchange reactions					Added KEGG ID; added EC Number	jpnh		
R_PDH_m	pyruvate dehydrogenase	M_coa_m +  M_nad_m +  M_pyr_m <=> M_co2_m + M_nadh_m + M_accoa_m	FALSE	(WBGene00010794 and WBGene00007824 and WBGene00009082 and WBGene00015413 and WBGene00011510)	glycolysis and gluconeogenesis; pyruvate metabolism; tca cycle; glyoxylate and dicarboxylate metabolism	R00344				Added KEGG ID; added EC Number	jpnh	6.4.1.1	
R_CS_m	Citrate (si)-synthase	M_oaa_m +  M_h2o_m +  M_accoa_m <=> M_cit_m + M_h_m + M_coa_m	FALSE	(WBGene00000833)	tca cycle; glyoxylate and dicarboxylate metabolism	R00352				Added KEGG ID; added EC Number	jpnh	2.3.3.8	
R_ACONT_m	Aconitate hydratase	M_cit_m <=> M_h2o_m + M_acon_C_m	TRUE	(WBGene00000041)	tca cycle; glycine, serine and threonine metabolism; glyoxylate and dicarboxylate metabolism	R01325				Added KEGG ID; added EC Number	jpnh	4.2.1.3	
R_ACONITATEHYDR_RXN_m	isocitrate hydro-lyase (cis-aconitate-forming)	M_h2o_m +  M_acon_C_m <=> M_icit_m	TRUE	(WBGene00000041)	tca cycle; glycine, serine and threonine metabolism; glyoxylate and dicarboxylate metabolism	R01900				Updated Name; Added KEGG ID; added EC Number	jpnh	4.2.1.3	
R_ISOCITRATE_DEHYDROGENASE_NAD__RXN_m	Isocitrate dehydrogenase (NAD+)	M_nad_m +  M_icit_m <=> M_akg_m + M_co2_m + M_nadh_m	FALSE	(WBGene00016266) or (WBGene00009664) or (WBGene00009440) or (WBGene00007993)	tca cycle	R00709				Added KEGG ID; added EC Number	jpnh	1.1.1.41	
R_AKGDH_m	2-oxoglutarate dehydrogenase complex	M_akg_m +  M_coa_m +  M_nad_m <=> M_co2_m + M_nadh_m + M_succoa_m	FALSE	(WBGene00014098 and WBGene00010794 and WBGene00020950 and WBGene00020679)	tca cycle	R01700;R02570				Added KEGG ID; added EC Number	jpnh	1.2.4.2; 2.3.1.64	
R_SUCOAS_m	Succinate--CoA ligase (ADP-forming)	M_atp_m +  M_coa_m +  M_succ_m <=> M_pi_m + M_h_m + M_adp_m + M_succoa_m	TRUE	(WBGene00007350 or WBGene00017759) and WBGene00009812	tca cycle	R00405				Added KEGG ID; added EC Number	jpnh	6.2.1.5	
R_RM02164	Succinate:ubiqui oxidoreductase	M_succ_m +  M_q_m <=> M_fum_m + M_qh2_m	FALSE	((WBGene00015391 or WBGene00016392) and WBGene00006433) and WBGene00003225 and WBGene00009353	tca cycle	R02164				Added KEGG ID; added EC Number	jpnh	1.3.5.1	
R_FUM_m	Fumarate hydratase	M_mal_L_m <=> M_h2o_m + M_fum_m	TRUE	(WBGene00001503)	tca cycle	R01082				Added KEGG ID; added EC Number	jpnh	4.2.1.2	
R_MDH_m	Malate dehydrogenase	M_nad_m +  M_mal_L_m <=> M_oaa_m + M_h_m + M_nadh_m	TRUE	WBGene00018491 or WBGene00003162	tca cycle; alanine, aspartate and glutamate metabolism; glyoxylate and dicarboxylate metabolism; glycolysis and gluconeogenesis	R00342				Added KEGG ID; added EC Number	jpnh	1.1.1.37	
